,INCIDENT_DATE,TEMP_MAX_F,TEMP_MIN_F,PRECIPITATION_INCHES,VISIBILITY_MILES,MAX_WIND_SPEED_MPH,WEEKDAY,SEASON,HOLIDAY,CALLS_PER_DAY_NYC
390,2014-02-14,40,30,0.0,10,31,4,1,False,3695.0
391,2014-02-15,36,30,0.0,10,24,5,1,False,3598.0
392,2014-02-16,29,22,0.0,10,22,6,1,False,3176.0
393,2014-02-17,32,19,0.0,10,20,0,1,True,3262.0
394,2014-02-18,39,25,0.0,10,25,1,1,False,3430.0
395,2014-02-19,44,29,0.0,10,16,2,1,False,3513.0
396,2014-02-24,43,28,0.0,10,24,0,1,False,3564.0
397,2014-02-25,32,25,0.0,10,23,1,1,False,3378.0
398,2014-02-27,32,17,0.0,10,32,3,1,False,3467.0
399,2014-02-28,24,10,0.0,10,22,4,1,False,3469.0
400,2014-03-01,37,21,0.0,10,13,5,2,False,3310.0
401,2014-03-02,39,34,0.0,10,13,6,2,False,3218.0
402,2014-03-03,31,19,0.0,10,18,0,2,False,3475.0
403,2014-03-04,29,13,0.0,10,16,1,2,False,3429.0
404,2014-03-05,36,27,0.0,10,18,2,2,False,3644.0
405,2014-03-06,29,16,0.0,10,17,3,2,False,3411.0
406,2014-03-07,36,26,0.0,10,18,4,2,False,3671.0
407,2014-03-08,55,35,0.0,10,16,5,2,False,3504.0
408,2014-03-09,43,36,0.0,10,20,6,2,False,3239.0
409,2014-03-12,54,37,0.0,10,31,2,2,False,3765.0
410,2014-03-13,33,19,0.0,10,32,3,2,False,3544.0
411,2014-03-14,43,22,0.0,10,18,4,2,False,3883.0
412,2014-03-15,58,25,0.0,10,24,5,2,False,3696.0
413,2014-03-16,42,31,0.0,10,23,6,2,False,3398.0
414,2014-03-17,32,24,0.0,10,17,0,2,False,3864.0
415,2014-03-18,39,27,0.0,10,22,1,2,False,3719.0
416,2014-03-19,46,31,0.0,10,17,2,2,False,3673.0
417,2014-03-20,53,39,0.99,10,25,3,2,False,3816.0
418,2014-03-21,50,39,0.0,10,23,4,2,False,3978.0
